imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9147681,2022-11-12,2022-10-24,526915424.03453785,13220903.847222222,1643626.1111111115,5416.197134936227
9300221,2022-09-10,2022-08-24,397192433.42090136,20254717.166666623,2494774.5555555574,4073.4659625064032
9317377,2022-10-17,2022-08-30,708863434.9693058,54510101.749999955,11163750.777777793,9009.855559365455
9331397,2022-08-01,2022-06-21,796964954.9745476,59304568.91666664,8013684.7777777575,7613.493301863568
9376359,2022-08-16,2022-06-13,742457948.7199123,86984239.87499943,33538206.333333414,8305.406710144971
9426257,2022-09-23,2022-08-15,826950039.7084727,46581165.5833333,5179922.666666664,10135.360493897004
9441398,2022-12-27,2022-11-30,522263174.0999821,32717496.500000056,3299057.777777779,6988.524926123714
9450674,2022-10-11,2022-08-21,753100351.266814,42944208.666666634,14905328.000000026,8095.116065723866
9467017,2022-08-06,2022-07-19,298874323.3173783,43826320.95833328,2863860.6111111096,5078.305185453822
9482122,2022-07-25,2022-06-08,381157862.0881148,28896140.541666582,4078860.055555553,5572.014367801338
9482483,2022-09-15,2022-07-22,799299756.1833328,64850522.750000186,20546575.888888955,9084.131070300939
9493987,2022-12-04,2022-10-11,694542766.4208844,63461444.04166656,11585172.277777774,11257.235677154289
9520601,2022-07-26,2022-06-09,255514774.0293605,29374749.08333333,7375474.555555561,4228.895551823978
9520601,2022-11-16,2022-10-31,289394850.1745017,19002654.6666667,4105324.333333331,3576.9652281153208
9538880,2022-08-22,2022-07-07,1039924265.4083129,104802935.25000012,10265880.666666659,12370.425904076637
9558256,2022-08-12,2022-07-04,558158890.7965865,47229737.74999969,2019235.444444442,9375.031161356826
9567257,2022-09-11,2022-09-02,30329560.229391664,8931332.583333332,4774279.999999995,898.5545844539156
9567257,2022-10-25,2022-09-21,99788117.30639261,26102824.041666623,19225134.722222205,3031.118850467695
9588380,2022-09-12,2022-08-31,64085790.8206451,9082102.249999993,5035366.0,871.7682255675534
9628219,2022-07-11,2022-06-15,69257.62429221303,2017481.3749999993,2513945.8333333326,8.088223471936695
9659799,2022-11-16,2022-10-12,549224647.6949468,42758443.54166669,4966165.611111111,8453.300776565822
9714769,2022-08-11,2022-08-05,90268305.68109056,7023094.541666666,1134437.38888889,1455.745909165979
9725914,2022-09-01,2022-07-16,427911775.3297506,55978784.875000134,22177670.16666669,7562.167739530646
9726267,2022-07-30,2022-06-25,757651086.7728308,34935756.37499997,1790850.8333333344,7692.713557375338
9733258,2022-12-05,2022-10-25,672133187.7389836,48561749.16666708,4392227.666666665,20585.844493201996
9738959,2022-08-18,2022-08-03,149038999.6497199,23554583.541666776,10526059.999999985,2057.790881692951
9738959,2022-11-13,2022-10-29,337195053.95902973,27153447.208333366,2261432.5555555555,3851.34320137635
9748423,2022-08-04,2022-06-24,457192448.58308846,65068803.583333544,4241127.888888893,52736.603360447596
9755701,2022-09-26,2022-09-12,106163402.6471636,13522544.749999998,5240708.999999999,1800.047190392116
9760110,2022-11-30,2022-10-24,260701855.17560494,34214483.333333276,15782199.33333334,3349.6554084180957
9762900,2022-11-10,2022-10-13,287900273.4902787,17595179.33333337,5531133.222222221,3329.370454001514
9767534,2022-07-08,2022-06-02,65676.90280870735,8198147.75,14688680.000000011,18.805560629912677
9767534,2022-09-20,2022-09-05,177571464.64754638,28668562.00000003,15105191.333333384,2474.9154421066696
9774434,2022-08-13,2022-05-26,678851623.3495185,78949382.95833294,20964180.888888847,71546.45723652944
9774434,2022-11-14,2022-10-05,1126757843.3489163,76567186.58333328,9626642.888888894,10825.869761179756
9774446,2022-07-20,2022-06-18,503460165.8495149,36406583.95833328,4184227.000000001,5140.684254615291
9782340,2022-12-17,2022-11-03,700305670.4760616,69794152.99999972,11980988.0,9011.381503453731
9792890,2022-08-02,2022-07-07,257569447.9460705,30726284.33333329,11019753.222222187,4422.300583144108
9810331,2022-09-12,2022-08-16,297594715.5006629,24870752.29166667,10351678.72222221,4483.824626258719
9810331,2022-10-18,2022-09-24,300883002.879532,18703742.95833334,8165266.222222248,4313.11739010915
9851335,2022-08-31,2022-08-12,133416134.83360478,17944227.166666664,7819127.333333331,2269.3323756031855
9856919,2022-11-15,2022-10-02,705005960.5820067,83452323.49999955,15598293.333333349,10489.060728175606
9860879,2022-10-10,2022-08-20,1346203373.7933767,90756953.08333315,31462789.6666666,10965.93577056163
9875252,2022-07-07,2022-05-27,77781359.2807573,10303790.250000004,6337125.888888889,723.8402182873078
9899399,2022-07-07,2022-05-17,792.5203008803605,6741209.583333333,12701164.666666664,2.538424522095296
9899399,2022-09-20,2022-08-02,835495186.0872183,90236361.58333333,35024017.66666671,9709.731407754689
9899399,2022-12-02,2022-10-23,720184457.0119146,69132235.79166666,14687775.22222222,9371.687397866439
9250177,2022-08-26,2022-07-07,1084189645.3449562,84796696.29166663,23698734.777777776,9742.787911667281
9272230,2022-07-05,2022-05-16,50723286.05940312,9324362.125000002,997353.1666666667,834.8617583319066
9272230,2022-11-23,2022-10-13,868154008.3155172,100508590.54166679,6846722.611111111,10999.44645460075
9277711,2022-07-24,2022-06-02,501944315.8889794,37632330.66666667,9338883.888888892,3899.4974923866653
9311311,2022-12-23,2022-11-01,417283555.41001797,96408648.91666706,32802947.833333388,5860.912547537124
9317365,2022-10-28,2022-09-13,649727158.3178891,53426472.66666667,9588107.666666666,9293.456326010297
9321093,2022-08-08,2022-07-11,381098093.64652884,67077833.87499998,3347373.666666667,7713.383334872268
9426245,2022-11-26,2022-11-07,270098492.7295561,22348729.541666616,4228225.83333333,4038.0505756270413
9457294,2022-07-09,2022-06-13,55578767.41049303,4227008.500000001,2587101.555555556,424.65362373184547
9461130,2022-10-20,2022-09-05,838103789.5761863,86152290.79166715,9238077.666666677,10482.505520156765
9487653,2022-11-07,2022-07-06,760726071.4882963,105171670.49999996,31692025.2222222,14046.561861064907
9527958,2022-08-04,2022-07-02,487092028.4852137,69800946.04166657,16161327.666666694,5427.561344396683
9528720,2022-11-10,2022-10-16,311129476.1863715,60281461.49999993,4007858.6111111115,6342.550294777665
9548316,2022-11-15,2022-10-20,346314967.97060466,22770959.791666664,1749607.8888888906,7210.9819022632455
9551961,2022-07-22,2022-06-22,646175419.0712126,47172825.916666724,1973730.2222222215,6651.112467408913
9575278,2022-08-18,2022-06-30,934628514.0320327,88362459.24999978,24885661.555555586,20870.59734592714
9603051,2022-10-17,2022-09-12,287067547.4347295,24980475.000000007,13611998.222222213,3404.935721384927
9604794,2022-09-20,2022-09-06,144343083.57084244,15865171.833333371,5198360.111111111,2136.095738222441
9611008,2022-09-12,2022-07-25,705520805.2778229,51936470.08333346,13250525.333333282,8494.594876054392
9667368,2022-09-23,2022-08-05,1084270286.3650424,79247340.79166654,6860125.222222219,9529.18174626805
9667423,2022-10-28,2022-10-12,167235878.90562564,17268987.12500003,6943006.833333333,2556.772744100135
9670418,2022-11-28,2022-10-31,422001930.9051344,33705225.12500009,4101420.944444443,7707.699997255508
9674799,2022-12-17,2022-11-15,451674754.53490275,34616453.083333455,12104625.222222213,5413.718318350831
9675602,2022-12-23,2022-11-07,651322721.3614388,75437395.58333303,10278978.222222226,8836.666789177787
9700873,2022-12-17,2022-10-31,752898724.9361869,79502131.58333306,15226486.333333328,9399.276264095952
9701360,2022-09-20,2022-07-01,842572421.7182695,128571384.50000004,73461204.6666666,10996.096822195776
9701360,2022-11-05,2022-09-23,711437295.9720144,74611899.37499987,9573005.99999999,9421.303796389979
9702493,2022-07-19,2022-06-10,5274671.275249427,4839362.124999998,5447355.333333334,66.17551949631854
9706554,2022-10-20,2022-08-28,916745597.2341298,74395415.25000018,12700898.333333336,17861.151288825025
9723708,2022-10-23,2022-10-06,134458180.10204026,19450579.958333325,9480866.944444468,2428.0570805324064
9723708,2022-11-25,2022-11-04,274731740.4358761,25125015.49999997,5609082.00000001,4444.745142209989
9727077,2022-07-12,2022-05-22,57339687.958900265,9661539.874999994,3569322.833333333,1199.268066772538
9727077,2022-09-09,2022-08-02,567488074.3481916,44646646.958333425,4683247.833333327,9380.219360215793
9729568,2022-09-23,2022-09-03,311782007.29670954,36689232.12500006,9937784.444444438,3981.186960152011
9740811,2022-07-09,2022-05-22,41910987.56009184,10134473.916666659,13176802.000000011,492.1192750544528
9762871,2022-10-20,2022-10-06,123695947.58403072,13202954.916666662,6396244.333333337,1498.4729235345471
9768019,2022-12-29,2022-11-29,255814156.66628072,55923046.29166634,43444956.33333337,2582.599992206027
9800855,2022-11-08,2022-10-01,11070827.582296873,10079073.333333308,10082461.999999972,1476785.6213943437
9811907,2022-12-23,2022-11-14,543558269.2802631,67434989.91666666,16093712.999999987,7917.7339364618
9856311,2022-12-27,2022-11-02,840158171.9770613,98828530.1250006,30294655.44444442,11121.660280004868
9866184,2022-12-26,2022-10-30,1421791837.1916919,107465312.49999942,38275834.33333332,11047.350942849691
9875630,2022-08-28,2022-07-18,957501423.2888503,78219839.2083331,15547223.444444437,10380.803025725952
9913999,2022-11-21,2022-10-20,97601522.39472273,22451886.70833335,13785654.166666655,1759.5113249338444
9220988,2022-11-07,2022-10-18,371147341.5235771,49896391.26388877,2745199.666666666,5192.50399047316
9236080,2022-11-13,2022-10-07,231143143.02682787,102095562.29166645,29887079.50000003,3551.300557723781
9300520,2022-08-06,2022-07-18,213704287.2647285,18364744.666666675,10876103.222222235,2206.845580769787
9357200,2022-08-27,2022-08-08,341920374.40863246,45394911.24999999,2008422.4999999993,5404.305159497775
9365659,2022-11-22,2022-10-04,988006114.252166,117152044.74999979,11560062.33333335,11653.225773722666
9384930,2022-10-27,2022-09-14,1345218289.2999458,72750631.9583333,6270721.9999999935,9376.438906972751
9388900,2022-10-06,2022-09-26,113111418.49474013,23450789.37500002,3073667.0555555555,2371.6445556285053
9388900,2022-11-13,2022-10-24,214510990.72411686,43215104.29166664,10098070.833333341,3842.013404442149
9441312,2022-11-20,2022-10-10,787317567.6579111,45987225.91666634,10061408.444444446,9278.119104703537
9456678,2022-11-11,2022-09-16,921308144.9667873,82778829.2499999,26329076.77777776,10178.492080032272
9493664,2022-11-06,2022-10-24,324886733.5322285,14120377.37500003,2107077.277777777,2951.045115775811
9493664,2022-12-21,2022-11-30,243319733.58753598,19870782.75000003,7569104.555555549,2727.2029805600378
9508471,2022-09-05,2022-07-14,484443984.22825253,35007110.66666665,13394190.444444437,889995.4020128293
9550412,2022-09-02,2022-07-08,384485602.64415336,90523711.95833333,26125069.222222183,5265.77125658869
9550412,2022-12-04,2022-10-05,756917684.8020597,131759741.20833309,19633333.05555558,10902.214778904538
9584906,2022-07-22,2022-06-12,376002377.311702,25640263.999999892,96650.66666666667,5520.935802988277
9590084,2022-12-19,2022-11-04,978149118.9299902,77715638.54166658,11384059.444444444,9762.030039728146
9617741,2022-07-08,2022-06-24,51180395.00271791,8104632.791666677,2715898.2777777775,1061.202317232654
9617741,2022-08-03,2022-07-21,157972605.54241008,15663682.124999987,4787797.83333333,2364.384931864349
9621778,2022-08-26,2022-07-06,590167235.9155732,56417950.87500002,24558178.277777668,6891.911644731895
9640059,2022-08-19,2022-07-27,349309449.1096801,42298955.29166666,14577331.888888884,4568.203444826606
9642148,2022-07-06,2022-06-13,11198020.370376261,9400627.166666664,9388822.333333327,239.32000310432443
9642148,2022-08-25,2022-07-13,627137727.4680029,80224348.2083333,12380070.555555563,9790.844606109313
9642148,2022-12-31,2022-12-09,377552357.5707147,42048749.70833352,16163475.333333327,4518.814115781074
9663116,2022-12-22,2022-11-30,323771132.0720792,41921907.62500001,14381918.777777776,4402.405805975497
9700885,2022-11-04,2022-09-20,617068419.9707206,86358623.00000079,13179935.66666666,10098.23295026785
9711925,2022-12-23,2022-10-29,1030801698.0044725,102911778.66666636,31966146.444444478,10896.093472636707
9718909,2022-12-11,2022-10-25,557252432.994048,86463658.66666645,7024594.555555554,10148.980649306966
9726449,2022-08-26,2022-07-12,795106570.7063699,82793506.2500003,27993371.111111123,8869.628665180648
9727596,2022-11-02,2022-09-15,956683738.8016037,84417908.25000024,14142394.444444438,10250.930459735713
9735000,2022-07-14,2022-05-30,0.0,354531.6666666667,401802.5555555555,0.14033442145760902
9742651,2022-09-04,2022-07-22,696969791.723729,59834270.708333224,10211994.444444444,7611.608335559404
9750983,2022-08-13,2022-07-21,240712231.6484809,42782406.87499987,32149825.77777774,2258.2356419660323
9750983,2022-09-21,2022-08-27,216690280.43984747,46642506.624999866,35718956.88888887,2350.741726474193
9758739,2022-11-14,2022-10-28,319041383.78156966,29228856.04166664,11905264.333333328,3032.8717515904523
9760067,2022-10-21,2022-09-01,1075373296.5738661,95519674.24999978,10209529.444444448,69323.19204352735
9761231,2022-07-19,2022-06-21,218750450.0931312,21398304.958333377,3508122.833333336,4042.335477603016
9784362,2022-11-07,2022-09-17,693764362.5895516,97118390.41666587,41568978.00000003,9204.956005480582
9792450,2022-11-17,2022-10-04,278364056.5661124,38135410.083333336,17304579.555555567,3630.140485080063
9792450,2022-12-20,2022-12-05,98446988.72200303,24556478.375,12711988.000000004,1846.1405784787873
9796949,2022-08-22,2022-07-10,1046047219.104496,81712882.33333337,16714158.22222222,10691.23135420435
9838498,2022-12-06,2022-10-31,677322805.0349071,67603231.58333337,9829821.222222222,9167.52716070685
9839088,2022-10-11,2022-09-27,211822204.3830256,15622777.625000032,5656647.055555558,2422.991093686217
9847396,2022-08-26,2022-07-11,880125452.6610565,78138705.6666662,7490998.999999994,9630.729322337793
9874648,2022-11-17,2022-10-23,320868142.8952856,42465707.37499998,15684819.555555554,4052.483333503225
9880362,2022-11-28,2022-10-22,276752097.72984684,36630135.74999998,16226898.555555547,3522.9580616278613
9881861,2022-08-20,2022-08-07,142413404.6902264,24210472.54166667,15654363.111111116,1888.7291636951895
9894284,2022-11-11,2022-09-13,691462470.4453895,107464372.166666,48341985.777777806,8606.64874829949
9913688,2022-12-24,2022-11-11,819130089.1985737,81267443.29166669,13289772.666666664,10445.44491141058
9929027,2022-12-14,2022-11-02,897523298.8077003,80134878.95833318,5111374.888888891,10872.869909732886
9930911,2022-11-09,2022-09-21,915492000.4198272,116806224.166666,11188363.000000004,11809.395498901133
9277292,2022-07-08,2022-07-03,82840167.30276275,10808083.541666662,972385.8333333334,1126.7294465501575
9277292,2022-08-31,2022-07-31,307556590.05279016,57803604.08333323,10506561.944444442,4441.577118344016
9277292,2022-10-04,2022-09-13,337132509.43163955,38541060.45833321,3963071.166666669,4047.3565411631544
9277292,2022-11-18,2022-11-04,211977919.70858392,27906615.75000001,2629832.9444444445,2898.7129099527165
9300207,2022-11-02,2022-09-21,692221231.86981,36573313.2916667,4429465.222222223,10049.94485391697
9347918,2022-12-26,2022-10-10,660638066.2462922,62941298.333333656,20687052.555555526,10962.013257642815
9360192,2022-11-30,2022-11-16,125954502.69653523,10526917.916666666,2516299.3888888927,2944.7357172209427
9397860,2022-11-03,2022-09-11,980206541.4949586,64006900.74999995,10372302.555555562,12027.837423721543
9400904,2022-12-14,2022-11-28,525116047.2978533,41040325.08333326,2525080.833333334,4704.178542315226
9456446,2022-12-12,2022-10-19,1318744219.0037653,50900629.54166646,9851483.944444446,9232.24106666117
9463645,2022-08-02,2022-06-03,150926972.67573118,47691582.25000007,45588599.66666664,88255.88032268277
9469912,2022-07-11,2022-05-27,41650162.35435127,18589149.041666653,10281189.16666666,603.4755462517717
9473597,2022-07-11,2022-05-12,289671929.75182253,23795660.958333317,984423.7222222221,2960.7896113899483
9473755,2022-11-25,2022-10-11,682094707.8400812,34613188.99999999,2976664.111111112,9504.610174044114
9476680,2022-08-21,2022-08-05,232070831.04038554,18156027.500000015,8413755.2222222,2302.304660415289
9476680,2022-10-08,2022-09-21,343626247.70863265,20052904.624999978,7835469.0555555485,3147.5780440538565
9476680,2022-11-10,2022-10-23,181403425.57763454,21843038.749999944,10076464.77777776,2467.1508099920616
9476680,2022-12-17,2022-11-28,430757805.0262429,22512466.166666683,5862997.777777771,4124.220204453333
9487421,2022-11-23,2022-09-27,854986073.8759563,59255471.16666665,12981419.111111129,9684.047907486887
9508433,2022-07-15,2022-05-23,194203083.69336337,10779335.666666675,4140135.6111111124,3248.213905173489
9520948,2022-08-20,2022-07-23,378801760.7497516,29101097.458333373,18456838.611111145,3525.3807273999105
9552953,2022-07-24,2022-06-15,219698119.05727187,39637067.70833341,3541618.500000003,3664.7390934355335
9552953,2022-08-25,2022-08-12,100692721.33283652,20106856.791666634,5656794.388888883,1369.095662534392
9559688,2022-10-28,2022-09-24,516920989.4503302,30079615.04166666,3867934.444444443,7276.999460124505
9561631,2022-07-18,2022-06-09,316769728.5585497,40688476.83333327,967866.6666666666,5087.634049681977
9576014,2022-12-12,2022-10-22,381675881.95754796,43468940.6666666,12110279.611111153,7451.76389961627
9594406,2022-12-21,2022-11-26,291475290.45725936,29153513.999999996,14723977.666666677,3306.7712202010407
9607007,2022-08-20,2022-07-22,394450794.9691888,35024016.08333336,9389834.777777772,5952.246980698568
9620542,2022-09-02,2022-07-10,996871457.2681491,94615234.45833318,26146343.77777774,9521.567173352358
9626388,2022-07-16,2022-06-22,268580545.3249957,18221721.374999985,1323029.722222223,3949.2742177167147
9626388,2022-09-08,2022-08-30,148804540.13618872,10996664.249999974,2270665.4444444445,2186.1813344660654
9626388,2022-10-16,2022-09-28,315613648.3208627,21742568.79166663,5670196.055555547,4003.8390157862
9626388,2022-11-05,2022-10-25,136357146.84077147,13315866.958333319,3355578.0555555504,2243.9192653554305
9643790,2022-11-04,2022-09-30,192275778.9467604,40274582.29166672,25379531.388888784,3256.846161552144
9650834,2022-08-01,2022-06-23,731556539.5855163,59276713.70833297,4026791.8888888927,8695.432428697979
9671802,2022-10-17,2022-09-29,288605188.4327668,34473905.375000045,12696585.99999999,3567.062733474348
9724764,2022-07-30,2022-07-05,299804115.2869364,46920829.041666724,30479789.222222213,3344.91644350536
9727455,2022-07-19,2022-06-09,329727035.78065526,17869372.62499996,1890315.9444444445,3811.014593712285
9743588,2022-08-23,2022-08-02,255418477.74401483,34084235.25,16156274.88888889,3217.4082780292756
9749312,2022-08-09,2022-07-03,753263410.2904152,67855304.29166654,13002531.222222243,8994.89831574173
9801196,2022-11-20,2022-10-21,238977687.2723288,56148425.125000015,43822131.55555558,2441.5408891113534
9831799,2022-12-24,2022-10-25,517077462.0383745,101128637.45833312,31329239.555555567,10727.29033154875
9835769,2022-07-15,2022-05-02,0.0,12571923.541666685,14850254.611111073,50.38129190836027
9836426,2022-09-02,2022-07-22,1018361519.8910313,80220027.33333336,6762103.222222222,11052.261646081348
9841172,2022-09-06,2022-07-24,257236365.13033053,75669874.58333322,65061166.555555485,19602.640667050033
9852767,2022-08-05,2022-07-15,176695601.02885884,37626083.083333276,21489632.000000007,2794.5251654002677
9855848,2022-09-06,2022-07-27,700596332.3574082,78000809.7916669,8922089.222222228,22561.056539531433
9865893,2022-07-06,2022-05-26,31294938.51663739,6162608.833333337,3469528.1111111105,466.3512537701179
9866653,2022-09-17,2022-08-03,631839306.2711753,43772325.4583334,7478474.722222222,8683.561547704412
9866653,2022-12-29,2022-12-04,232987653.8324093,22609640.083333313,6449170.999999999,4638.416014044687
9867554,2022-12-07,2022-10-18,1014813957.5775812,94318286.83333284,24656987.000000015,10721.914987645388
9883118,2022-12-27,2022-11-14,965291935.7782162,81939600.1666666,14217727.11111112,10614.357896703485
9897121,2022-08-04,2022-06-29,494649232.4033333,48016333.08333327,12598201.333333366,7235.8991398790495
9901831,2022-10-19,2022-09-30,254636500.86769116,35102148.79166673,18532060.77777779,2552.987652391941
9901831,2022-11-22,2022-11-07,207599843.8814081,24070645.08333333,13018809.666666666,1874.8488297959682
9913676,2022-11-30,2022-10-19,839211962.1036899,79352625.0833337,18849027.66666668,9860.481840626497
9145982,2022-08-07,2022-06-27,484298528.74846905,40324508.486111015,10576651.055555543,6439.125936970638
9181027,2022-08-29,2022-07-05,734528082.7255157,66883898.486110315,13232785.833333166,13881.747559384612
9407586,2022-12-14,2022-11-24,98692023.21391256,24328431.833333354,5060925.5,2040.212400201666
9433327,2022-07-22,2022-05-11,202505312.65022448,15859225.416666664,6870198.666666658,4195.725519843734
9453523,2022-12-09,2022-10-15,965587551.5990113,102703104.29166661,20875119.777777784,10839.053550589215
9453793,2022-07-16,2022-07-01,189814550.69609642,31757803.99999998,5542392.888888896,3157.565826750922
9473420,2022-11-19,2022-09-19,491806734.6868901,41046252.54166655,3069013.777777778,9799.816470003881
9474280,2022-09-22,2022-09-03,370230833.60094696,15481778.0,5207939.611111114,3241.0295036325565
9478200,2022-11-12,2022-09-29,1013432930.9157485,75504088.83333305,7948888.333333336,9756.775479579783
9520766,2022-09-15,2022-07-26,963405884.8780621,97827512.25000033,11759929.444444457,12682.086257951916
9522908,2022-08-24,2022-07-16,517626450.31727636,43227837.25000012,13477513.111111106,7544.261286258942
9525417,2022-08-02,2022-07-21,116348236.18276222,10011363.375000006,1756960.3888888867,2769.2876334533717
9574028,2022-09-01,2022-07-29,528801792.70089895,36556076.375,13672672.166666664,6022.733062385618
9583639,2022-09-27,2022-07-23,837909329.6308997,46445005.20833334,7041089.27777778,8917.068444346543
9599016,2022-11-17,2022-09-28,463600434.2399019,36695118.416666634,14904801.944444437,7014.511962800357
9599016,2022-12-27,2022-12-13,151808822.584998,12194673.833333338,3672902.8888888857,2293.514358580426
9617179,2022-12-13,2022-10-29,1018411792.2498763,44802134.00000023,8021714.444444445,8968.169755382572
9632272,2022-09-06,2022-08-27,156801949.00641638,10806388.124999978,2609910.8333333344,1857.8584506663938
9656541,2022-07-05,2022-06-22,22987778.8122317,10179990.708333332,1785847.1666666656,645.3135593078755
9656541,2022-08-22,2022-07-24,63646477.91026576,67804213.74999997,24118324.055555608,2137.4013766785483
9701061,2022-07-17,2022-06-14,199461886.52617705,37169221.37500007,3130849.3888888923,3589.721365945087
