imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9274939,2024-12-12,2024-11-07,426584393.79385847,41044123.791666456,13857751.16666671,6325.926963517507
9277644,2024-09-20,2024-07-11,750558387.4988607,62342549.750000365,19487802.666666664,9341.736669918533
9277644,2024-11-07,2024-10-29,113435685.88087846,8669913.958333323,1936729.7222222227,1453.1723284322889
9488229,2024-09-26,2024-08-13,627238168.6205661,53063079.87500006,6886606.499999991,10123.02186712049
9714769,2024-12-27,2024-10-11,861331455.3308119,90009027.33333346,19763285.777777832,14616.356232133163
9748760,2024-07-17,2024-06-07,298111526.2784274,30609649.958333075,58712.33333333334,4058.6440728314647
9748760,2024-09-27,2024-08-25,775793346.1936879,56546516.54166676,675768.8888888885,72477.05637211673
9748760,2024-11-27,2024-10-12,625102111.81169,82697783.45833394,14811480.444444442,9013.836831821443
9758416,2024-12-27,2024-12-01,182517245.49100477,48936947.58333335,35661678.22222222,2677.5158688284714
9760110,2024-08-14,2024-08-05,129598239.16015902,15826533.666666688,4636789.666666664,1627.0808551905982
9851335,2024-08-21,2024-08-07,68992923.03526904,12207569.291666646,5165003.277777779,1424.4805987043164
9852224,2024-07-17,2024-06-22,22684587.31843209,1943590.4583333333,588510.722222222,318.1880405623731
9984534,2024-10-24,2024-09-30,369089703.1235127,43256218.416666515,12994297.555555558,5481.277901645344
9984534,2024-12-22,2024-11-09,511278486.94140565,82083877.958333,13565034.777777767,9809.439350225857
9149392,2024-11-16,2024-09-22,646376247.3705951,69670827.36111067,13190564.444444427,10375.435910936367
9427081,2024-09-05,2024-07-12,859258636.3405071,45754153.7916666,5592343.611111119,16428.49559020217
9433640,2024-11-15,2024-10-11,571215745.4014344,67265111.87500009,6818509.222222215,8437.35879604082
9481099,2024-08-18,2024-08-06,86504490.26945502,14187366.91666668,6676002.000000012,2183.552106668025
9481099,2024-09-21,2024-08-29,354206710.0940032,27651101.29166666,1865937.944444443,5718.898355680894
9561942,2024-08-20,2024-07-11,560595244.3203815,48641379.04166602,5109337.72222222,9447.433715656229
9580106,2024-07-24,2024-06-04,149640.52101143438,26729685.666666713,24350201.222222183,459.44054630492207
9757527,2024-07-05,2024-05-25,19613980.2528383,3347391.666666669,545167.3333333338,660.7106863904457
9767534,2024-08-18,2024-07-10,623912844.7529635,73861460.83333285,13957838.666666685,9996.860520931852
9767534,2024-10-15,2024-09-26,130364437.45023365,31339835.041666664,25494031.111111134,2128.218321011355
9767534,2024-11-22,2024-10-27,305689212.9982892,47181984.41666671,22007739.111111153,4429.534150664087
9774446,2024-08-23,2024-07-18,685805224.8510066,63893279.12499987,4052429.7777777775,8351.484899341473
9850769,2024-12-24,2024-11-08,765752705.7100637,77335002.3333329,17185334.000000015,9245.015639809442
9152480,2024-08-14,2024-06-23,137848806.20480007,28050224.597221646,69650.88888888889,5891.813279508021
9422940,2024-08-22,2024-07-18,509305643.94771504,61770929.45833337,23105865.44444447,7030.10887534905
9467562,2024-09-12,2024-08-05,525562433.85003203,43216760.16666671,13701608.999999996,7670.989313609778
9467562,2024-10-30,2024-10-02,569931782.1603096,33644409.49999992,4444189.111111106,6861.327312984758
9501899,2024-08-17,2024-03-26,459791834.6664703,30934153.791666698,20572413.055555556,5756.616429669121
9571612,2024-08-29,2024-07-04,645672791.5528355,46508805.958333515,8103665.77777777,11710.86109829605
9579236,2024-09-05,2024-08-23,190626148.1306837,23917150.29166665,9722607.888888909,2452.4079051652748
9705287,2024-09-22,2024-07-12,191157336.63714164,114459840.083333,131633478.22222196,3392.1737362439862
9713466,2024-08-01,2024-06-13,365087507.327787,59244374.041666634,19014460.333333362,6188.258571447497
9755701,2024-08-01,2024-07-23,98041552.40288164,9268086.749999989,2534662.222222224,1561.5715765451196
9792711,2024-11-05,2024-10-24,140096338.86915419,13399115.166666647,3451005.6666666702,2003.3012206421251
9841940,2024-11-08,2024-09-26,126531576.3574536,50053599.916666664,34824120.333333336,2773.530040434513
9899399,2024-08-14,2024-07-10,782486677.2062352,64878504.16666654,5495756.22222222,9466.584293969798
9899399,2024-12-21,2024-11-12,665526695.0905904,67746450.95833328,11797726.111111114,9331.289401266282
9926087,2024-10-25,2024-09-01,281635348.2614146,43282181.04166667,27204016.722222235,156383.03947228513
9967134,2024-12-07,2024-10-08,550284462.3000538,102545486.33333325,49696634.555555545,10446.317742008829
9149665,2024-11-11,2024-09-25,204654869.2539526,45915478.61111107,1488316.0000000002,4046.882351236333
9237187,2024-12-24,2024-10-18,670451626.7849525,57921065.0416668,10352659.055555556,9588.77946466518
9317365,2024-07-10,2024-06-02,128514769.91979243,9903890.750000006,115396.0,1979.5898868081638
9317365,2024-12-23,2024-10-06,760492903.6767075,80279228.7916664,26431321.388888948,11064.068544619464
9457294,2024-08-08,2024-07-26,173547920.23651862,12917223.041666716,4361252.722222224,2099.6431308081333
9604275,2024-10-27,2024-10-11,151677424.88903493,16090332.37500002,2527500.499999998,2497.2339258044303
9674799,2024-11-23,2024-08-30,171540901.19533178,21713130.833333295,13801997.77777778,2382.11755566858
9707687,2024-07-10,2024-06-29,99158155.62778252,15256356.916666657,6736699.555555555,18200.154356790874
9707687,2024-08-06,2024-07-25,145469061.1514214,19463388.20833333,4908929.444444444,2008.995385687408
9754903,2024-11-01,2024-09-04,481561001.36642826,49795903.083333395,12978670.777777769,7546.590062364929
9754903,2024-12-30,2024-11-21,375186637.27880484,43093154.54166672,10392346.49999999,6661.690005496596
9767766,2024-11-25,2024-10-14,660544366.015975,66394334.499999985,5842505.22222222,9186.219610515054
9875630,2024-11-26,2024-10-04,783884075.6183591,100234457.91666688,25470331.222222168,10834.53411903079
9917050,2024-08-05,2024-07-18,320716114.6736531,33423506.458333172,9235894.11111113,4240.060022551904
9917050,2024-09-02,2024-08-24,132811010.80056113,17325779.791666675,5316604.555555546,1874.7014048329129
9917050,2024-10-05,2024-09-17,168794504.04536265,29281052.125000015,13749932.444444455,2489.1335910821053
9917050,2024-11-16,2024-10-28,153234700.09462625,34250997.625,21758097.88888893,2557.7771070354643
9965588,2024-08-09,2024-07-06,287404553.79808795,37137357.83333326,18372228.6666667,5130.479460025704
9965588,2024-09-02,2024-08-14,43166371.1398855,22380005.37500008,10324116.055555554,2384.1824722736096
9965588,2024-11-09,2024-09-22,315133137.12128246,52362382.58333323,32554888.55555559,17950.414928246333
9979204,2024-12-06,2024-10-15,549659211.3407203,99038222.29166658,17617192.555555515,41175.47724495685
9272230,2024-11-07,2024-08-19,1345806192.45964,189663902.4583346,31675918.666666664,17153.814374605045
9426245,2024-07-27,2024-07-01,316704097.57907015,30048806.12500001,11065503.05555562,4599.646241063046
9484194,2024-11-15,2024-09-14,396011582.4425208,39689605.58333338,16388989.77777771,8232.176612303374
9498341,2024-08-28,2024-07-18,795426595.0961789,90936057.33333349,10365991.77777777,60964.67974733849
9520936,2024-12-22,2024-12-07,107616943.45040688,18006397.499999996,11189241.333333315,1519.804175302032
9610224,2024-07-05,2024-05-19,14833.005730023999,4261233.166666672,4236552.999999999,7.588462192913664
9610468,2024-10-09,2024-09-21,322904382.74309844,19401879.791666638,2931628.2777777803,3738.5221831520134
9610468,2024-11-23,2024-10-15,473312378.998051,36465765.3749999,11214162.38888888,5998.459170699155
9616058,2024-08-30,2024-08-09,50690312.12225664,10998016.249999994,8037755.833333335,1520.816422786323
9621869,2024-10-10,2024-08-27,550082943.9396129,48939926.2083333,14651305.500000017,7671.375914619315
9621869,2024-11-25,2024-10-25,461998991.96100336,37068127.95833342,8964202.944444446,6430.666800186403
9643908,2024-09-08,2024-07-29,622023306.6362861,49866443.24999977,4772563.000000004,9794.669153042356
9667423,2024-12-23,2024-11-08,784996789.287192,50208679.08333329,8292072.999999999,9748.727399285242
9696448,2024-09-11,2024-08-18,421740003.38833123,45302154.08333323,8433660.333333336,5798.700899951199
9696448,2024-12-03,2024-09-22,2877185035.0834746,114700257.74999976,50670883.77777787,15729.282299441564
9725419,2024-08-30,2024-07-28,389005965.5691322,36665364.66666654,4311419.11111111,20293.698413430753
9747314,2024-11-24,2024-10-07,1026754219.7319074,91788571.33333309,18658835.444444455,10873.454959518282
9753296,2024-09-07,2024-08-24,122398056.75038967,16685697.166666657,5735006.666666654,2404.946865969374
9762845,2024-10-29,2024-10-12,296500967.38402367,30582243.250000045,5280653.333333331,3929.931140093828
9781956,2024-10-21,2024-10-02,330317369.8707819,40451408.833333254,2535419.6666666674,4143.481566986192
9800855,2024-09-25,2024-07-27,22786335.9523231,24467893.12499994,31517021.55555549,7732918.225013904
9856282,2024-08-24,2024-06-17,936557105.3446864,99095087.54166725,26128884.77777776,12559.978110304122
1013688,2024-11-26,2024-11-14,114310134.09363756,22724685.208333317,7242230.444444449,2344.8198544686684
9379870,2024-12-04,2024-11-14,110606686.21050395,14223590.875000017,936827.5000000006,3093.097579764323
9384930,2024-07-28,2024-06-17,603394246.3478738,43651154.08333332,2032051.5555555548,6552.651383265845
9388900,2024-09-23,2024-09-09,178017216.58744803,31479302.83333335,4092042.611111107,7129.324097739501
9388900,2024-11-19,2024-11-01,225145795.26274872,39548055.62500005,7528401.833333339,3901.192559798849
9393541,2024-09-10,2024-07-28,351572628.8925994,85282017.70833327,11287772.388888886,8258.018533311712
9416458,2024-08-14,2024-08-06,178812513.71608385,16281707.541666666,1562718.3888888883,1448.725982199719
9577604,2024-09-14,2024-08-24,234716142.67487937,23864800.374999993,11771448.833333334,3044.428947308895
9597666,2024-08-20,2024-07-06,172430643.3143302,82818623.33333324,42948052.944444485,2407.643746673282
9607306,2024-11-03,2024-09-14,692436067.7589734,34091785.54166664,15466166.500000043,4443.269937458265
9622825,2024-11-27,2024-10-14,676752542.3833832,52869041.333333045,6737880.111111108,9810.510115685358
9667576,2024-10-19,2024-10-09,163648200.11590394,11245973.374999985,2481388.9444444436,2202.7375668753257
9667576,2024-12-13,2024-11-02,428772678.69737315,45627531.62500007,12959040.499999998,6883.751743770164
9681895,2024-08-23,2024-07-15,237634031.40759,33264206.624999966,14545614.611111125,157307.48138648085
9703459,2024-07-06,2024-06-02,42633230.71334637,12409407.291666653,2349197.8888888904,740.472991617554
9726035,2024-08-21,2024-08-05,52428816.793796934,28127344.916666627,24879001.333333373,1443.0708912748464
9726035,2024-09-19,2024-08-30,161136821.2992541,26167462.750000007,13932731.555555573,2354.008952531073
9726449,2024-10-31,2024-09-25,716421864.6181014,63012197.62499999,6413002.555555553,8565.189613648487
9732412,2024-09-22,2024-08-20,771980643.5182695,55971752.416666836,4190135.444444444,7841.578557728098
9781009,2024-12-28,2024-12-06,181333549.54912874,38573283.12499997,19073401.222222198,3549.1342465936987
9796949,2024-07-22,2024-06-13,357716400.02814627,39250692.54166661,9587682.666666683,4957.4145008637215
9836921,2024-12-09,2024-11-18,300435277.8815504,25307713.708333332,4113194.3888888857,4781.220705588023
9839088,2024-10-02,2024-07-31,134822275.09563425,49723923.166666664,53621097.77777774,2336.752046977544
9873280,2024-08-30,2024-07-23,803991064.2331145,69631263.54166666,11393671.999999996,8628.057309755273
9916977,2024-09-14,2024-08-19,209093720.30783734,47797221.33333343,32847942.111111056,3303.966246872313
9916977,2024-11-06,2024-09-18,876441147.2851523,93425311.41666651,29757512.1111111,10718.281903146892
9991238,2024-07-29,2024-07-06,241547031.97939146,40179618.374999985,15811348.666666657,3963.50408825621
9247405,2024-08-14,2024-06-27,689739831.9148589,87478230.12499993,15411122.3888889,74300.02542181753
9357212,2024-10-25,2024-10-04,155194840.1843264,28790497.666666713,5176424.444444444,2494.140426725931
9403190,2024-12-08,2024-10-10,791422002.8927386,71352167.79166593,14117454.500000032,12617.626549362425
9420796,2024-11-11,2024-10-07,1031017101.4786798,85760990.24999937,3247650.722222222,11041.884410401168
9460813,2024-12-16,2024-10-21,499696933.38697934,47476082.33333324,9143302.666666662,19533.693793183727
9469912,2024-09-21,2024-08-10,1378328050.9041014,96680307.20833334,9218861.055555549,11525.085819172096
9520792,2024-07-25,2024-06-27,261748808.4031455,28902571.208333403,10789963.27777786,3905.132542612171
9605176,2024-10-24,2024-09-22,513814465.74308527,37892402.70833355,5243524.388888892,7772.171659530638
9615169,2024-11-27,2024-10-11,707041737.6872189,90008160.12500031,11178493.555555565,10976.473889242525
9623881,2024-09-06,2024-08-20,243141146.77792987,18458555.37499999,8831092.944444463,2317.1973951901364
9626388,2024-09-13,2024-08-17,244286278.80607808,32211409.20833325,14780258.055555576,3992.9400564123766
9636008,2024-10-11,2024-08-09,185324429.01486,58362232.500000075,43780307.77777778,2314.779912426493
9636008,2024-12-10,2024-10-30,358133167.8341759,45094779.166666664,14342994.444444448,5780.586671011409
9643790,2024-09-19,2024-09-03,154639340.35102996,17975238.666666687,7110678.777777778,2400.0441455460505
9650834,2024-10-13,2024-08-21,306525821.26517576,97327359.99999969,84118653.88888867,3958.4331460044723
9652557,2024-09-09,2024-08-24,333549275.9478781,18133226.58333332,2909990.111111114,3776.470246516813
9668271,2024-12-07,2024-10-25,117115587.01465505,23514986.625000007,14303330.611111112,1706.5102588053335
9668879,2024-11-23,2024-10-09,1017377220.3442742,79252977.91666682,13735425.777777798,10311.585561807467
9836464,2024-09-13,2024-08-27,307671342.4964674,32486735.12499998,6473182.555555551,4010.5079249903215
9917749,2024-09-22,2024-08-31,255425700.42666385,36263945.249999985,22636374.555555545,3218.51941154838
9917749,2024-11-20,2024-11-05,108398740.69759083,26349862.500000022,21496628.444444392,1482.9119605189367
9926063,2024-10-09,2024-08-15,696171250.238376,54993297.12500019,4772008.611111111,24327.198005371796
9932141,2024-08-16,2024-07-19,414608111.22390157,31076273.041666724,4602178.611111111,5825.304679377266
9948267,2024-10-27,2024-10-03,103715499.31219569,28207305.208333354,16915339.055555567,2272.255551000049
9985655,2024-12-13,2024-10-17,615833882.4394374,106024677.41666634,35165070.44444443,15056.301133613113
1015313,2024-11-03,2024-09-16,,56075731.291666776,11960774.055555558,9704.908832674473
9121742,2024-11-02,2024-07-30,872137266.2592789,112347745.0138885,55538211.38888883,122606.4809110303
9216509,2024-07-13,2024-05-27,208821432.75438184,14568912.583333323,1592569.4444444447,2804.1775968074367
9243849,2024-10-09,2024-08-25,930673690.355986,69010138.16666676,12512135.999999968,11172.668085595116
9261786,2024-09-12,2024-07-30,931548854.3787235,52851340.20833329,12402660.722222218,10421.199537271641
9413925,2024-10-30,2024-09-01,538890626.8317364,47503223.08333328,22422972.61111121,6197.118708709942
9455399,2024-07-20,2024-06-30,91522012.71335393,12012122.958333325,2088254.4999999986,1847.1956860560065
9727089,2024-12-30,2024-10-23,205184936.95551363,80070938.45833272,60214080.27777799,4280.096940162753
9747156,2024-12-21,2024-10-25,557876538.6040893,45220738.87499971,5079157.055555555,8644.458729213691
9802310,2024-12-26,2024-11-02,828605571.7460061,100249544.41666676,23193498.55555554,11036.010028374567
9811995,2024-08-28,2024-05-10,831034503.9353969,141973302.79166624,27567395.49999997,25639.509738713696
9860386,2024-10-13,2024-08-31,740870798.3379347,82018327.08333328,15732434.666666668,10500.987783905695
9220471,2024-10-29,2024-09-11,713544815.3245876,51245098.12499969,7902059.944444481,9578.149736869656
9313280,2024-11-17,2024-09-28,818600413.746758,95422081.62499999,26489551.11111118,10747.287669317828
9407574,2024-10-28,2024-08-30,572693806.0908282,107511304.87499982,16840763.83333334,11132.924812736092
9514121,2024-09-24,2024-09-08,333539570.4231841,17195572.333333343,1757945.444444445,3398.605533093774
9563732,2024-09-25,2024-08-15,621500537.714764,95192584.5000001,13131806.77777777,11183.262814121394
9612155,2024-07-26,2024-06-23,136677134.0450824,20071223.24999996,7493125.888888837,3195.9555496869943
9688855,2024-12-30,2024-11-09,717716873.6580204,61529424.66666675,6619894.444444452,11629.267886929169
9767443,2024-10-23,2024-09-26,316283810.2230933,25813985.16666666,9570722.333333325,4229.350139789863
9851517,2024-11-28,2024-09-27,1204890987.948059,117793274.6249999,51945218.88888881,10531.334352770904
9914008,2024-11-19,2024-10-08,603460063.0885016,48925997.249999985,5780362.666666665,9837.557211477031
9914008,2024-12-26,2024-12-11,133019461.81219669,14893838.375000026,4485639.833333333,2140.379233859381
9931159,2024-08-23,2024-07-14,919287757.3098843,72947853.3333331,21129804.333333354,11630.643112044168
9949699,2024-07-26,2024-06-13,1278121378.1792486,28456196.708333336,25780914.611111104,17523.890873896253
9963293,2024-11-28,2024-10-14,489954132.0663628,54599763.83333356,8498211.222222203,11355.933806189
1029455,2024-09-25,2024-08-24,696466436.2636836,61384577.04166638,2833788.555555553,37698.43296231478
1029455,2024-12-16,2024-11-03,680598647.5706232,81927139.66666694,9035940.111111118,10558.02320258901
1051109,2024-12-10,2024-11-03,1030751747.1006917,79806437.7499999,5042403.055555556,9258.210362355789
9285079,2024-07-25,2024-05-21,119590668.60036358,27729585.541666575,18936788.277777854,1998.8569264308253
9285079,2024-09-25,2024-08-12,610596868.7910681,53328150.9583333,7814064.166666666,10549.396702778262
9450777,2024-07-25,2024-06-09,9442.270291767963,12358298.875000015,13706453.055555554,9494.517073417377
9473420,2024-12-23,2024-11-07,709322945.2997131,40093861.708333574,4631395.94444445,10367.316188743378
9553983,2024-09-05,2024-07-27,8706924191.343613,90507194.91666631,6652717.666666667,10261.801407891284
9561813,2024-10-01,2024-08-28,387670524.28549296,36347853.20833344,8808233.61111112,6804.73998482107
9596727,2024-11-13,2024-10-19,345855089.3217559,27781005.958333302,9973474.055555562,4069.2866527043793
9642198,2024-10-17,2024-08-23,318051346.8725976,36400776.20833332,16205729.777777778,3598.5620633914614
9655846,2024-12-16,2024-10-13,1722594705.4663503,63989124.87499993,23404065.27777776,9640.440976753009
9714680,2024-12-28,2024-12-09,294213992.7356236,35979394.75000008,8236494.333333331,4006.124649737675
9744075,2024-12-16,2024-11-05,153668314.12375373,38405905.95833336,29287975.888888877,1751.0137781958379
9860295,2024-07-06,2024-05-23,82258478.5335237,6083746.499999999,0.0,1387.2309025856744
9869710,2024-09-19,2024-08-20,634922000.8766575,36137765.62499988,4806709.388888887,6992.845594558292
9971886,2024-11-25,2024-10-13,616125775.4175323,51767621.749999754,3577750.1111111147,11861.986718096743
9991276,2024-11-06,2024-09-20,442617036.447752,89965845.66666639,5954873.333333335,23700.211430730684
9272216,2024-09-23,2024-08-14,700110301.4129004,90657077.33333328,7268177.166666671,10292.294903495205
9432737,2024-08-23,2024-07-05,792462351.2521391,55526409.79166605,12435317.72222218,10401.40900989076
9432737,2024-12-13,2024-11-22,167013179.60875934,21923974.041666728,8712408.38888887,3002.7034721299633
9520819,2024-10-15,2024-10-01,153795636.08149275,14771721.791666662,7122084.833333338,2081.1375498490374
9551674,2024-10-29,2024-09-28,120972382.83180043,19201251.333333343,10165199.111111104,1682.3780771939566
9597408,2024-09-05,2024-08-06,326891387.784584,23186295.166666627,3260311.9444444436,5513.9897140209405
9672870,2024-11-02,2024-09-12,651579825.292498,86012962.20833302,10553369.555555558,10485.716361910674
