imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9299109,2021-09-08,2021-08-20,81344122.07613409,17858831.79166665,8061166.722222222,2604.8754186792344
9317377,2021-08-30,2021-07-14,1084298245.930392,49538899.04166689,11148553.722222228,9447.898452870904
9375953,2021-08-01,2021-07-09,147158461.01434472,15778908.70833331,6191026.944444447,1916.4818609241345
9375953,2021-09-01,2021-08-17,245130328.9982712,9128444.541666666,1260544.3333333323,2579.3078015450105
9401855,2021-12-28,2021-11-25,776296989.3173139,37343683.00000004,2456945.7777777794,8832.925513350032
9403102,2021-07-09,2021-06-11,104811623.09588589,9557679.083333336,3036432.3333333344,1387.2306193538411
9441374,2021-07-16,2021-06-04,245713985.10861674,17195776.541666653,2899213.0555555555,2975.1866541192394
9477866,2021-08-19,2021-07-13,767743085.9527,22997103.4583334,2324839.722222224,6686.700049356443
9477866,2021-11-28,2021-10-17,826120920.3681493,23016903.00000002,796041.0555555554,7253.166558952878
9520986,2021-12-08,2021-11-23,191853262.05283126,17747235.45833328,8309306.277777772,2165.3268376423825
9528017,2021-08-04,2021-06-25,414132358.54337114,28247776.374999985,3948986.666666665,6410.602554562808
9561942,2021-09-09,2021-08-06,945346153.2302843,41326747.58333319,4359948.444444443,9577.604795841957
9625798,2021-10-27,2021-08-31,96757816.39850122,21689370.625000037,14547337.277777776,1244.5084562651812
9696450,2021-08-09,2021-07-17,228758297.80421066,43567675.66666656,33112511.22222225,2709.0029561392525
9714769,2021-08-29,2021-08-18,127712285.37547034,13395982.708333341,3774223.8333333363,2131.433084079367
9726841,2021-09-30,2021-08-28,121455852.8445596,27611289.333333418,11824923.277777769,3008.9126686921795
9726841,2021-10-23,2021-10-09,111250903.45443006,10506166.124999983,1729005.7777777768,2454.1457798649176
9726841,2021-11-29,2021-11-21,81545244.53462613,7073806.458333321,1520531.9444444445,1548.6941685421903
9738052,2021-10-07,2021-08-28,303990390.9109288,79568794.49999982,42741541.66666696,5279.579682036072
9760110,2021-08-07,2021-07-20,341814661.6503351,34053462.62500009,14361688.77777777,3574.797316558644
9810331,2021-11-26,2021-11-02,192761539.97918642,22155772.708333332,12565385.666666694,2902.193221273271
9852793,2021-09-17,2021-08-04,1073960398.414532,83490538.625,22945982.333333306,10288.113626034045
9427081,2021-07-09,2021-06-24,54740284.011577,4909200.833333333,1171511.555555556,1135.959913740578
9519169,2021-08-18,2021-07-20,602522061.9843409,25316431.83333333,4538891.388888896,6526.158600113022
9543768,2021-07-31,2021-06-10,395863828.70364326,19513810.333333362,71825.0,4348.970695528814
9543768,2021-10-28,2021-09-20,795440386.65998,42790218.25000013,5032528.888888884,8587.82570988759
9558256,2021-08-19,2021-07-12,799295054.3546826,46282442.916666575,5181073.000000011,9694.83038196676
9563536,2021-09-08,2021-07-16,1107010115.777158,44290521.708333336,4444246.722222217,10041.183667513385
9571612,2021-08-17,2021-07-01,760368200.0509298,36054154.500000134,3686498.166666662,9708.885896449865
9594705,2021-08-21,2021-07-25,373228363.02293956,32441147.375000015,12701241.166666668,4408.105310685505
9626900,2021-09-01,2021-06-03,1199615169.063032,109364626.58333364,53398970.111111164,10188.208834811168
9626900,2021-11-24,2021-11-07,205369144.10179636,27477808.58333335,22391771.000000037,1866.8898424450606
9666053,2021-09-11,2021-07-08,657234040.8495169,123878186.25000003,52518898.99999994,11097.429405384055
9666053,2021-11-28,2021-10-16,673308037.7215961,81071754.83333337,15877682.666666687,9966.948848963357
9687203,2021-12-03,2021-09-30,862213169.4349158,128437174.12500088,34124255.8333333,10375.565027415094
