imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9317377,2022-06-20,2022-05-09,1035475477.2860596,46591595.916666865,7734180.222222217,9506.053373301424
9376359,2022-02-02,2021-12-15,727262364.1027806,47940026.87500001,5954718.444444449,6410.522044407175
9450674,2022-02-13,2022-01-08,644864441.4412824,27496773.958333325,4810644.888888882,6780.213502483585
9466348,2022-05-01,2022-03-10,894412532.2991756,116346992.12500082,13059735.277777785,19977.1103524056
9477270,2022-04-06,2022-02-22,828963285.1453176,48601319.541666746,6110486.611111112,10107.646528341947
9514389,2022-05-23,2022-04-30,467628570.0622232,22906610.458333336,7504973.944444451,3886.7375907581245
9527996,2022-01-20,2021-11-30,242470366.91072267,13863235.749999974,1990630.1111111098,3335.1119658895736
9538880,2022-01-31,2021-12-26,809033356.4993625,69360072.1666664,5047823.2222222295,9045.408609426944
9558256,2022-04-20,2022-03-15,846688761.2462804,43586376.70833334,2577355.83333333,10066.024241284189
9558696,2022-02-07,2022-01-28,134364178.7635,10435667.125000002,3912596.277777777,1336.1664135134884
9567257,2022-04-26,2022-04-16,42596311.903337836,4401700.333333331,2429832.666666669,752.1029951067574
9580027,2022-03-08,2022-02-08,153439858.39796942,6866838.875000001,593912.0000000003,2015.6165239515035
9589671,2022-03-14,2022-01-27,865045860.3958086,87426778.83333321,18137894.99999996,10241.78221628299
9595967,2022-02-05,2021-12-24,353065906.90420115,34996546.000000045,7268217.777777783,5681.389132299226
9623726,2022-04-05,2022-02-07,1333728709.9907298,108107006.04166651,31785997.444444455,12202.104017454916
9626900,2022-02-11,2021-12-16,922226222.3253894,59046632.666666664,8772188.888888894,8126.137821339006
9663271,2022-04-30,2022-04-13,267664273.1438452,18669069.249999993,8234237.111111117,2499.577385341841
9663271,2022-06-23,2022-05-11,576794016.5781289,48397341.9583333,24758600.72222223,5511.8549843355595
9666053,2022-04-28,2022-02-10,1020903998.7471063,142991593.33333248,68265717.55555554,15581.99003432691
9671072,2022-01-04,2021-12-11,0.0,1244256.0,843683.5555555556,1.427022235619693
9671072,2022-03-10,2022-02-06,350840493.8458211,21040761.624999993,6458617.333333338,4506.31883222062
9693331,2022-05-01,2022-03-25,677417090.6300427,44767337.33333328,2074328.6666666672,9962.586415991282
9698197,2022-03-25,2022-03-09,248295903.566897,24571874.70833335,3100303.222222226,3098.184412751987
9701712,2022-05-01,2022-04-20,156474375.72196636,15738920.166666677,6576021.222222223,1480.0007057982486
9709221,2022-06-30,2022-06-17,108509594.58153036,15524111.95833333,5741628.166666664,2157.4100988990926
9719941,2022-01-31,2021-12-14,493070631.8642516,22664640.37499997,6051442.777777777,2572.6627865763107
9725914,2022-01-21,2021-12-20,258547544.08214208,24245710.666666504,2470906.5555555546,4745.391250604125
9725914,2022-04-20,2022-03-21,151508052.4890239,28385134.37500004,22761147.944444433,2584.706015763628
9726841,2022-01-11,2021-12-31,69517153.6376509,8665244.791666672,1880169.7777777782,1674.141962991858
9726841,2022-04-24,2022-04-14,69892811.3453463,8641540.916666662,2818107.0000000056,1391.9032017140735
9726841,2022-06-03,2022-05-23,56361896.46155197,9014399.333333336,2063778.2777777798,11503.344036117236
9747247,2022-05-07,2022-04-20,120486166.01296858,20240659.291666668,10107728.722222228,2170.4232928910583
9747247,2022-06-28,2022-05-19,434925638.03427255,47793023.958333544,16968669.944444418,6989.087103328239
9801249,2022-01-20,2022-01-02,192728772.35388303,33092028.6666667,22770385.555555552,2398.5221667030837
9801249,2022-02-22,2022-02-01,216284558.01830655,39933860.958333276,27622024.999999996,2597.3314491679334
9801249,2022-03-15,2022-03-03,208526838.15335274,22958395.41666657,9207643.888888868,2373.7611651442703
9810331,2022-01-09,2021-12-02,98097168.18773016,7745595.541666666,3191796.2777777812,1357.292663938845
9810331,2022-01-23,2022-01-16,56509379.40438182,4935985.708333334,3573637.9999999953,850.1531187776475
9810331,2022-02-24,2022-02-08,285645229.5518636,13212812.708333338,3719914.5,3614.3884333130727
9846108,2022-02-14,2021-12-26,753976763.3772274,77716660.66666697,20661747.111111116,8595.959796681873
9847011,2022-06-27,2022-05-16,790158936.3003737,76862535.20833315,16946582.22222222,9606.372305480398
9916214,2022-02-24,2022-02-08,270477020.7280989,30390065.33333325,9373323.999999996,3646.05831497708
9138109,2022-05-10,2022-04-30,111912922.36070819,19569810.22222215,9861915.333333332,1548.1073929076092
9238210,2022-05-13,2022-03-24,572664401.7631787,55939515.66666664,7318411.222222229,9282.478097539935
9246308,2022-03-19,2022-01-28,723350044.8708968,123263253.20833336,12887120.111111104,11847.375538263088
9246308,2022-05-28,2022-05-14,170213147.36396396,34348023.666666746,5118803.888888885,2828.7091503864476
9246308,2022-06-29,2022-06-14,253245379.03981888,35263304.91666667,4151470.833333334,3509.668649745202
9317494,2022-02-08,2021-12-23,656028354.5490787,45609368.45833347,7067427.944444438,8407.667946266614
9422940,2022-02-26,2022-01-09,467423020.8384343,54990268.666667014,20975036.333333377,5485.43653026361
9441398,2022-02-24,2021-11-19,612101550.0246531,61604011.62499986,29866114.72222221,7528.8500841341975
9467017,2022-06-25,2022-02-07,1996568022.79514,293864893.8333323,60845805.94444449,29346.887770289348
9524700,2022-01-14,2022-01-04,174008143.744445,11495469.916666662,3858289.777777775,1789.1617212896613
9524700,2022-02-18,2022-02-01,138786398.00102225,18220579.00000002,10414694.888888877,1559.51931806057
9524700,2022-03-13,2022-02-28,176266814.880045,13678582.666666666,4674901.777777784,1985.7775517674113
9524700,2022-04-14,2022-03-22,134759468.56990725,23365580.33333334,16873693.77777777,1591.4905518480468
9524700,2022-05-13,2022-05-02,174466136.19816455,11172329.458333353,3784948.944444446,1762.9588893359917
9524700,2022-06-11,2022-05-29,146112803.80804506,14192541.99999998,6851000.0000000065,1568.0774842777446
9609237,2022-02-17,2022-01-10,862130575.9413308,40872554.12500004,3681781.611111108,8921.46339003213
9635626,2022-01-21,2021-12-08,73793671.13896199,19450064.833333313,17567665.888888817,1037.2893860769154
9646663,2022-01-24,2021-11-21,134072212.69972768,42330903.33333325,23558227.888888914,3205.069688133964
9646663,2022-06-18,2022-06-02,193559605.13870487,30724432.374999963,12995245.777777761,2668.1506527600445
9713466,2022-04-03,2022-02-23,637643666.0803115,72330445.95833337,7446468.44444445,9027.60843548908
9753387,2022-02-21,2022-02-13,154444892.76511186,9771165.625,898284.7222222226,2201.6404342208043
9755701,2022-02-08,2021-12-27,478697509.28301316,44478330.541666664,8674800.611111103,8397.419031104591
9786011,2022-01-19,2022-01-04,233288784.91539407,29051291.750000052,11987151.44444443,2897.1477977209743
9786011,2022-02-28,2022-02-08,359281876.674703,38281512.20833339,9701425.888888875,4446.412209116837
9792022,2022-06-10,2022-05-19,354155461.5754071,38908250.333333254,15784896.666666681,3848.8774545103997
9834856,2022-06-30,2022-05-28,409650984.6101763,38966933.41666671,13663102.111111104,5802.934287053255
9848522,2022-01-21,2021-11-25,135480467.68647766,37624148.250000015,24131805.999999963,2126.9930347524773
9866184,2022-02-07,2021-12-31,1861787186.66104,70685029.45833325,5253381.555555556,10956.171612089971
9868883,2022-01-18,2021-11-17,126972469.62855995,18647591.62499998,3902134.666666667,1620.728316641664
