imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9268916,2020-01-29,2020-01-12,208563419.90596652,13000120.791666677,3491796.222222206,2559.9566860188174
9317377,2020-03-15,2020-02-13,312301750.7423764,31984305.166666597,18240561.777777787,2952.490897627895
9401855,2020-03-20,2020-02-19,200590001.82250667,33154916.166666735,18585641.000000015,2499.939153958024
9520986,2020-04-24,2020-03-29,233821998.1687339,30389913.66666591,8290752.666666731,4559.155078425587
9527996,2020-03-16,2020-01-15,697268025.3653609,45831879.70833398,8491560.444444403,45516.81984011495
9527996,2020-04-22,2020-04-03,162034621.87999815,13080310.749999978,4899582.277777755,8812.780566878078
9527996,2020-05-23,2020-04-29,139118460.71308312,15594798.374999996,6024748.055555545,2083.6443897367226
9624055,2020-04-18,2020-03-13,801216535.8197463,41830313.416666724,3528463.333333336,8556.378524072472
9675559,2020-01-23,2019-12-31,186879891.09477693,19117866.08333336,3543187.2222222225,3136.0507133243973
9695640,2020-03-25,2020-02-03,537028472.5083499,49327195.66666655,3027985.2222222206,9470.03377262574
9696450,2020-02-26,2020-02-09,139964591.61849412,30429347.541666668,21935322.88888908,2134.7876555758307
9748760,2020-03-07,2020-01-23,851569216.1529416,75809234.04167211,5640031.4444444375,416030.80596852273
9758416,2020-01-18,2019-11-24,157682399.32186636,31076681.999999978,20082294.555555567,1917.0015253126683
9774446,2020-01-29,2019-12-29,301399423.21994394,52530747.74999849,26104302.777778223,177885.91101127566
9785988,2020-03-19,2020-01-29,1047078729.9413166,88031766.33333814,31844473.666667506,50251.09839885508
9792890,2020-05-17,2020-03-28,768101084.6008091,59109613.875000104,13554066.944444897,11847.536776008004
9806304,2020-05-17,2020-03-30,788383568.5037891,51168272.99999969,8062176.333333499,10424.839539412995
9806304,2020-06-14,2020-06-04,197637279.2176276,11182754.37500008,2326343.277777777,2209.388514016333
9838058,2020-01-30,2019-12-14,609759268.8493115,47562648.79166593,1104320.0000000012,15667.013323988755
9838058,2020-05-15,2020-04-03,1072062552.718459,77193357.58333343,16725453.777777776,8741.918108484102
9846108,2020-02-20,2020-01-09,733810222.226294,76907215.66666667,12142548.444444455,305297.2033371747
9851335,2020-03-17,2020-02-21,144944464.5602152,26672044.208333265,14505579.611111093,2460.587166690401
9851335,2020-04-30,2020-04-11,176829569.30050787,22116782.999999903,7690992.666666733,3342.652410454788
9482122,2020-02-10,2020-01-20,203894165.56707954,21475592.666666865,11149499.111111155,1973825.2405739375
9506100,2020-02-21,2020-01-13,166648528.70917916,21926460.29166674,3221098.6111111157,40574.0517549379
9558696,2020-05-02,2020-03-19,896580028.9780158,51865527.45833331,8290848.055555549,10779.627703580805
9580106,2020-06-27,2020-04-20,777196170.8125458,44631089.20833334,5234421.833333337,9751.228289573744
9626900,2020-02-08,2019-12-31,633522223.6784589,66205679.5833333,9152837.777777772,613637.2391570807
9701164,2020-04-26,2020-03-17,729295510.154019,71753674.95833348,13408734.888888888,9113.784142783516
9713181,2020-05-16,2020-04-16,417109127.46536976,25054151.416666623,1679027.666666666,7171.53299988572
9756626,2020-05-14,2020-03-26,608120088.7384698,81892571.58333348,15919385.555555588,9242.212994723353
9785366,2020-03-09,2020-01-11,825388245.047718,101556011.3750048,27794429.55555558,1474528.146313565
9834856,2020-04-09,2020-03-07,448943829.99202365,34766366.9166666,5255941.000000003,6719.778373260645
9834856,2020-06-27,2020-04-26,509830822.1934375,66709866.16666684,30282589.222222216,10710.491906601512
9856919,2020-06-17,2020-05-05,605451060.0420226,80603421.70833811,19792378.44444452,9806.875028061766
9434498,2020-05-30,2020-05-13,466786201.2998904,32551933.91666632,5402703.888888903,4709.277406531293
9453406,2020-05-15,2020-04-18,302732118.0432341,42524255.04166626,29404295.555555627,2660.9362064878746
9455557,2020-03-28,2020-02-14,1034413687.551934,78605584.41666666,8327453.777777777,8878.423726507359
9466350,2020-05-18,2020-03-26,722035064.3823038,92376906.91666664,8025238.166666657,8909.182202569287
9502336,2020-07-01,2020-05-17,1031793209.3066729,99909217.95833088,12874608.111111047,12710.493953323721
9521540,2020-04-28,2020-02-24,939677232.2447653,123962672.70833516,20551968.666666653,11345.808357409916
9571612,2020-02-22,2020-01-04,678733442.7397485,35507683.25000156,4332037.277777766,3082203.0684926803
9580039,2020-02-23,2019-12-30,636067794.9342,43531796.75000005,6359845.444444452,819630.5539095044
9595890,2020-04-12,2020-03-03,459409775.2208008,41336687.70833315,8050828.833333348,6625.183392263338
9753387,2020-03-17,2020-02-19,248319375.89604896,32229110.874999613,15070531.166666808,4124.298874910055
9838084,2020-06-11,2020-05-13,762665943.1593046,53562285.83333329,3186066.3333333298,7006.917346228791
9848534,2020-03-25,2020-01-28,1002110372.8631065,107689462.83332855,32975051.11111147,466555.30792447785
9190080,2020-01-30,2019-12-10,319574358.4027968,76071041.81944582,15214765.777777694,138325.00189836236
9317365,2020-02-24,2019-12-30,654561066.4046657,63401176.583336405,13458036.777777731,4693124.813405632
9466520,2020-05-14,2020-04-02,877677613.8877295,45415194.49999954,7235963.111111184,9105.688282371144
9508407,2020-01-22,2019-12-08,233983139.69307175,14434210.375,2273872.777777777,4182.106857238868
9518191,2020-04-17,2020-02-22,821148531.3411394,98497455.33333221,40996569.11111132,10355.369533489345
9569968,2020-06-16,2020-05-04,346627958.12154424,23021996.833333347,9497971.777777787,3057.04236790371
9575278,2020-01-17,2019-12-29,190618352.84673402,26901055.999999747,20666150.111111175,2011.7192291467272
9575278,2020-03-01,2020-01-27,489447770.90111876,62292913.0416686,19801775.666666802,637816.6566979839
9579406,2020-04-26,2020-03-14,657981379.8348761,50185081.37499967,9497115.166666884,9244.0175433696
9667722,2020-01-10,2019-12-22,92975913.99197888,17502911.29166668,1009600.7222222221,1608.5168104297277
9726504,2020-05-30,2020-04-16,1147830091.2116601,83651615.66667108,12971710.222222274,11928.40720932024
9738466,2020-03-23,2020-02-28,176037629.13910407,33124796.250000004,7655608.11111111,3340.830238698419
9754903,2020-03-04,2020-01-14,381201625.35392356,57868203.79166675,12689473.388888907,1228791.484659054
